source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;;
viadeo;Spain;médico;2;unknown;null;False;null;null;False;True;;
viadeo;Spain;médico;3;unknown;null;True;null;null;False;True;;
viadeo;Spain;médico;4;unknown;null;null;null;null;False;True;;
viadeo;Spain;médico;5;unknown;null;null;null;null;False;True;;
viadeo;Spain;médico;6;unknown;null;False;null;entry-level;False;True;;
viadeo;Spain;médico;7;unknown;null;False;null;entry-level;False;True;;
viadeo;Spain;médico;8;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;médico;9;male;null;True;62.0;senior2-level;False;True;;
viadeo;Spain;médico;10;male;null;False;46.0;senior2-level;False;True;;
viadeo;Spain;médico;11;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;médico;12;male;null;null;62.0;senior2-level;False;True;;
viadeo;Spain;médico;13;female;null;True;28.0;senior1-level;False;True;;
viadeo;Spain;médico;14;male;null;null;46.0;senior2-level;False;True;;
viadeo;Spain;médico;15;unknown;null;null;37.0;mid-level;False;True;;
viadeo;Spain;médico;16;female;null;null;49.0;senior2-level;False;True;;
viadeo;Spain;médico;17;male;null;null;null;entry-level;False;True;;
viadeo;Spain;médico;18;male;null;null;null;entry-level;False;True;;
viadeo;Spain;médico;19;female;null;null;null;senior2-level;False;True;;
viadeo;Spain;mecánico;0;unknown;null;True;33.0;senior2-level;False;True;;
viadeo;Spain;mecánico;1;male;null;null;28.0;senior1-level;False;True;;
viadeo;Spain;mecánico;2;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;mecánico;3;male;null;null;48.0;entry-level;False;True;;
viadeo;Spain;mecánico;4;null;null;null;null;null;null;null;;
viadeo;Spain;mecánico;5;male;null;False;null;senior1-level;False;True;;
viadeo;Spain;mecánico;6;male;null;True;31.0;entry-level;False;True;;
viadeo;Spain;mecánico;7;male;null;null;null;entry-level;False;True;;
viadeo;Spain;mecánico;8;male;null;null;null;entry-level;False;True;;
viadeo;Spain;mecánico;9;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;mecánico;10;male;null;False;null;entry-level;False;True;;
viadeo;Spain;mecánico;11;male;null;null;null;entry-level;False;True;;
viadeo;Spain;mecánico;12;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;mecánico;13;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;mecánico;14;male;null;True;null;entry-level;False;True;;
