source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;
viadeo;France;jardinier;16;male;null;False;30.0;senior2-level;False;True;
viadeo;France;jardinier;17;female;null;null;29.0;null;False;True;
viadeo;France;jardinier;18;male;null;null;null;entry-level;False;True;
viadeo;France;jardinier;19;female;null;null;null;null;False;True;
viadeo;France;journaliste;0;male;null;null;40.0;senior2-level;False;True;
viadeo;France;journaliste;1;female;null;True;null;entry-level;False;True;
viadeo;France;journaliste;2;unknown;null;False;87.0;mid-level;False;True;
viadeo;France;journaliste;3;female;null;False;35.0;senior2-level;False;True;
viadeo;France;journaliste;4;female;null;null;37.0;senior2-level;False;True;
viadeo;France;journaliste;5;female;null;True;49.0;senior2-level;False;True;
viadeo;France;journaliste;6;female;null;null;null;senior2-level;False;True;
viadeo;France;journaliste;7;male;null;null;null;senior2-level;False;True;
viadeo;France;journaliste;8;unknown;null;True;33.0;senior2-level;False;True;
viadeo;France;journaliste;9;female;null;null;35.0;senior2-level;False;True;
viadeo;France;journaliste;10;male;null;null;28.0;senior2-level;False;True;
viadeo;France;journaliste;11;female;null;False;46.0;senior2-level;False;True;
viadeo;France;journaliste;12;male;null;null;38.0;senior2-level;False;True;
viadeo;France;journaliste;13;male;null;False;null;senior2-level;False;True;
viadeo;France;journaliste;14;male;null;True;29.0;senior1-level;False;True;
viadeo;France;journaliste;15;male;null;True;44.0;senior2-level;False;True;
viadeo;France;journaliste;16;female;null;null;null;senior2-level;False;True;
viadeo;France;journaliste;17;male;null;null;32.0;senior2-level;False;True;
viadeo;France;juge;0;unknown;null;False;null;senior1-level;False;True;
viadeo;France;juge;1;unknown;null;True;null;mid-level;False;True;
viadeo;France;juge;2;unknown;null;True;null;null;False;True;
viadeo;France;juge;3;unknown;null;null;null;senior2-level;True;True;
viadeo;France;juge;4;unknown;null;null;36.0;senior2-level;False;True;
viadeo;France;juge;5;unknown;null;null;null;senior2-level;False;True;
viadeo;France;juge;6;unknown;null;null;null;senior2-level;False;True;
