source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo
linkedin;United Kigndom;judge;18;unknown;null;False;null;senior2-level;False;True
linkedin;United Kigndom;judge;19;unknown;null;False;37.0;mid-level;False;True
linkedin;United Kigndom;judge;20;male;null;False;53.0;senior2-level;False;False
linkedin;United Kigndom;judge;21;unknown;null;False;45.0;senior2-level;False;True
linkedin;United Kigndom;judge;22;male;null;False;57.0;senior2-level;False;True
linkedin;United Kigndom;judge;23;male;null;False;76.0;senior2-level;False;True
linkedin;United Kigndom;judge;24;male;null;False;48.0;senior2-level;False;True
linkedin;United Kigndom;mechanic;0;male;null;False;null;senior2-level;False;True
linkedin;United Kigndom;mechanic;1;male;null;True;null;senior2-level;False;False
linkedin;United Kigndom;mechanic;2;male;null;True;null;senior2-level;False;True
linkedin;United Kigndom;mechanic;3;male;null;False;41.0;senior2-level;False;True
linkedin;United Kigndom;mechanic;4;male;null;True;29.0;senior2-level;False;True
linkedin;United Kigndom;mechanic;5;male;null;False;22.0;senior2-level;False;False
linkedin;United Kigndom;mechanic;6;male;null;False;28.0;entry-level;False;True
linkedin;United Kigndom;mechanic;7;male;null;False;39.0;senior2-level;False;False
linkedin;United Kigndom;mechanic;8;male;null;False;40.0;senior2-level;False;True
linkedin;United Kigndom;mechanic;9;female;null;False;25.0;entry-level;False;True
linkedin;United Kigndom;mechanic;10;male;null;False;null;mid-level;False;False
linkedin;United Kigndom;mechanic;11;unknown;null;True;45.0;senior2-level;False;False
linkedin;United Kigndom;mechanic;12;male;null;True;39.0;senior1-level;False;True
linkedin;United Kigndom;mechanic;13;male;null;True;24.0;mid-level;False;False
linkedin;United Kigndom;mechanic;14;male;null;False;27.0;mid-level;False;True
linkedin;United Kigndom;mechanic;15;male;null;False;null;senior2-level;False;False
linkedin;United Kigndom;mechanic;16;unknown;null;True;39.0;senior1-level;False;True
linkedin;United Kigndom;mechanic;17;male;null;False;29.0;mid-level;False;False
linkedin;United Kigndom;mechanic;18;male;null;False;35.0;mid-level;False;False
linkedin;United Kigndom;mechanic;19;male;null;True;null;senior2-level;False;False
linkedin;United Kigndom;mechanic;20;male;null;False;null;senior1-level;False;False
