source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;
viadeo;France;designer;5;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;designer;6;unknown;nan;True;nan;senior-level;False;True;
viadeo;France;designer;7;unknown;nan;True;32.0;amateur-level;False;True;
viadeo;France;designer;8;unknown;nan;False;nan;senior-level;False;True;
viadeo;France;designer;9;unknown;nan;None;30.0;senior-level;False;True;
viadeo;France;designer;10;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;designer;11;female;nan;None;46.0;amateur-level;False;True;
viadeo;France;designer;12;unknown;nan;True;nan;mid-level;True;True;
viadeo;France;designer;13;unknown;nan;True;27.0;amateur-level;False;True;
viadeo;France;designer;14;female;nan;True;35.0;amateur-level;True;True;
viadeo;France;designer;15;female;nan;True;nan;amateur-level;True;True;
viadeo;France;designer;16;female;nan;None;nan;entry-level;True;True;
viadeo;France;designer;17;female;nan;True;nan;None;True;True;
viadeo;France;designer;18;male;nan;None;31.0;senior-level;False;True;
viadeo;France;designer;19;female;nan;True;37.0;amateur-level;False;True;
viadeo;France;consultant;0;male;nan;None;nan;amateur-level;True;True;
viadeo;France;consultant;1;unknown;nan;True;nan;mid-level;True;True;
viadeo;France;consultant;2;unknown;nan;True;nan;senior-level;True;True;
viadeo;France;consultant;3;male;nan;None;nan;senior-level;True;True;
viadeo;France;consultant;4;female;nan;True;64.0;amateur-level;True;True;
viadeo;France;consultant;5;male;nan;None;38.0;amateur-level;True;True;
viadeo;France;consultant;6;male;nan;None;48.0;amateur-level;True;True;
