source;country;speciality;#;gender;ethnicity;Is_foreigner;age;experience_level;was_awarded;has_photo;num_stars;num_reviews
top doctors;Spain;odontologia y estomatologia;12;female;hispanic-japanese;False;33.0;senior2-level;False;True;5.0;4
top doctors;Spain;odontologia y estomatologia;14;male;french;True;null;senior2-level;False;True;5.0;2
top doctors;Spain;odontologia y estomatologia;14;male;hispanic;False;57.0;null;False;True;5.0;1
top doctors;Spain;odontologia y estomatologia;16;male;hispanic;False;40.0;senior2-level;False;True;5.0;10
top doctors;Spain;odontologia y estomatologia;17;male;hispanic;False;38.0;senior2-level;False;True;5.0;10
top doctors;Spain;odontologia y estomatologia;19;male;hispanic;False;43.0;null;False;True;0.0;0
top doctors;Spain;nutricion y dietetica;0;female;hispanic;False;null;senior2-level;False;True;5.0;9
top doctors;Spain;nutricion y dietetica;1;female;hispanic;False;null;senior2-level;False;True;5.0;12
top doctors;Spain;nutricion y dietetica;2;female;hispanic;False;null;senior2-level;False;True;5.0;7
top doctors;Spain;nutricion y dietetica;3;female;hispanic;False;46.0;senior2-level;False;True;5.0;3
top doctors;Spain;nutricion y dietetica;3;female;hispanic;False;null;senior2-level;False;True;5.0;5
